,lr,bs,ep_r
166,0.5999999999999996,0.6000000000000001,-45.086695076816746
167,0.5999999999999996,0.7000000000000001,-49.337979656895456
168,0.5999999999999996,0.8,-44.755494868868126
169,0.5999999999999996,0.9,-42.39575784620644
170,0.6999999999999997,0.0,-48.60572511225896
171,0.6999999999999997,0.1,-55.12397782576478
172,0.6999999999999997,0.2,-53.92582052376109
173,0.6999999999999997,0.30000000000000004,-53.04502800539365
174,0.6999999999999997,0.4,-52.963161071723356
175,0.6999999999999997,0.5,-49.465259560685794
176,0.6999999999999997,0.6000000000000001,-50.91552866248598
177,0.6999999999999997,0.7000000000000001,-50.83448354010801
178,0.6999999999999997,0.8,-51.18462124256529
179,0.6999999999999997,0.9,-45.563873206033215
180,0.7999999999999996,0.0,-75.81609915612106
181,0.7999999999999996,0.1,-63.97960699786587
182,0.7999999999999996,0.2,-53.467327118637925
183,0.7999999999999996,0.30000000000000004,-53.18515259298092
184,0.7999999999999996,0.4,-61.092591714751606
185,0.7999999999999996,0.5,-49.80390370556758
186,0.7999999999999996,0.6000000000000001,-56.09707997081847
187,0.7999999999999996,0.7000000000000001,-50.75627902702902
188,0.7999999999999996,0.8,-51.19971802904949
189,0.7999999999999996,0.9,-47.23488795281977
190,0.8999999999999995,0.0,-51.03071065831336
191,0.8999999999999995,0.1,-70.22556374548759
192,0.8999999999999995,0.2,-58.89029439035063
193,0.8999999999999995,0.30000000000000004,-55.42189331362185
194,0.8999999999999995,0.4,-55.70142349967159
195,0.8999999999999995,0.5,-46.61181266887128
196,0.8999999999999995,0.6000000000000001,-51.740334971842344
197,0.8999999999999995,0.7000000000000001,-48.292446115439766
198,0.8999999999999995,0.8,-52.51176126888778
199,0.8999999999999995,0.9,-50.05519305726351
